r (cm)/ theta(deg),0,2,5,7,10,15,20,25,30,40,50,60,70,80,90,100,110,120,130,140,150,155,160,165,170,173,175,178,180
0.25,0.207,0.212,0.221,0.251,0.416,0.627,0.803,0.916,0.989,1.027,0.959,0.981,0.994,0.999,1,0.999,0.994,0.981,0.959,1.027,0.989,0.916,0.803,0.627,0.416,0.251,0.221,0.212,0.207
0.5,0.216,0.215,0.314,0.342,0.405,0.539,0.653,0.744,0.815,0.918,0.987,1.03,0.988,0.996,1,0.996,0.988,1.03,0.987,0.918,0.815,0.744,0.653,0.539,0.405,0.342,0.314,0.215,0.216
0.7,0.250,0.250,0.357,0.38,0.446,0.566,0.666,0.747,0.811,0.906,0.971,1.018,1.035,0.997,1,0.997,1.035,1.018,0.971,0.906,0.811,0.747,0.666,0.566,0.446,0.38,0.357,0.250,0.250
1.0,0.289,0.314,0.4,0.429,0.49,0.6,0.689,0.761,0.818,0.905,0.964,1.008,1.037,1.002,1,1.002,1.037,1.008,0.964,0.905,0.818,0.761,0.689,0.6,0.49,0.429,0.4,0.314,0.289
1.5,0.354,0.411,0.454,0.484,0.543,0.638,0.717,0.779,0.83,0.907,0.961,1,1.028,1.03,1,1.03,1.028,1,0.961,0.907,0.83,0.779,0.717,0.638,0.543,0.484,0.454,0.411,0.354
2.0,0.400,0.470,0.493,0.522,0.578,0.664,0.736,0.793,0.84,0.91,0.961,0.997,1.024,1.03,1,1.03,1.024,0.997,0.961,0.91,0.84,0.793,0.736,0.664,0.578,0.522,0.493,0.470,0.400
3.0,0.465,0.532,0.549,0.572,0.624,0.699,0.759,0.812,0.852,0.914,0.96,0.993,1.017,1.027,1,1.027,1.017,0.993,0.96,0.914,0.852,0.812,0.759,0.699,0.624,0.572,0.549,0.532,0.465
5.0,0.537,0.595,0.610,0.634,0.673,0.735,0.786,0.829,0.865,0.92,0.959,0.987,1.009,1.021,1,1.021,1.009,0.987,0.959,0.92,0.865,0.829,0.786,0.735,0.673,0.634,0.610,0.595,0.537
7.0,0.586,0.637,0.646,0.667,0.702,0.756,0.804,0.843,0.873,0.923,0.962,0.988,1.008,1.017,1,1.017,1.008,0.988,0.962,0.923,0.873,0.843,0.804,0.756,0.702,0.667,0.646,0.637,0.586
10.0,0.639,0.659,0.681,0.703,0.726,0.775,0.819,0.851,0.88,0.926,0.958,0.986,0.999,1.014,1,1.014,0.999,0.986,0.958,0.926,0.88,0.851,0.819,0.775,0.726,0.703,0.681,0.659,0.639
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r (cm)/ theta(deg),0,2,5,7,10,15,20,25,30,40,50,60,70,80,90,100,110,120,130,140,150,155,160,165,170,173,175,178,180
0.25,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
0.7,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
3.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
5.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
7.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
10.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
