Theta/deg,0,1,2,3,5,7,10,12,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,168,170,173,175,177,178,179,180
0,0.67195,0.67075,0.66905,0.66285,0.6714,0.69425,0.73455,0.7618,0.80265,0.8521,0.89185,0.9167,0.93575,0.9549,0.9643,0.97335,0.9861,0.9899,0.9929,0.9961,0.9974,0.9992,0.9995,1,0.9997,0.9989,0.9983,0.9958,0.9937,0.9898,0.9854,0.97245,0.9629,0.9524,0.9366,0.91815,0.891,0.8385,0.7834,0.7479,0.710775,0.658525,0.61415,0.541975,0.473725,0.439875,0.441875
0.25,0.67195,0.67075,0.66905,0.66285,0.6714,0.69425,0.73455,0.7618,0.80265,0.8521,0.89185,0.9167,0.93575,0.9549,0.9643,0.97335,0.9861,0.9899,0.9929,0.9961,0.9974,0.9992,0.9995,1,0.9997,0.9989,0.9983,0.9958,0.9937,0.9898,0.9854,0.97245,0.9629,0.9524,0.9366,0.91815,0.891,0.8385,0.7834,0.7479,0.710775,0.658525,0.61415,0.541975,0.473725,0.439875,0.441875
0.50,0.6535,0.6522,0.6511,0.6516,0.6652,0.6901,0.7312,0.7599,0.7989,0.8496,0.8872,0.9126,0.9332,0.9511,0.962,0.9718,0.9787,0.9841,0.9892,0.9933,0.9951,0.9995,1.0004,1,0.9991,0.9975,0.9964,0.9932,0.9905,0.986,0.9794,0.971,0.9615,0.95,0.9349,0.9146,0.8876,0.8405,0.7866,0.7511,0.71515,0.66345,0.6196,0.55005,0.48655,0.45335,0.45215
1.00,0.6166,0.6151,0.6152,0.6291,0.6528,0.6818,0.7245,0.7561,0.7914,0.8446,0.8779,0.9044,0.9281,0.9435,0.9574,0.9687,0.9746,0.9822,0.9883,0.9926,0.9968,0.9953,0.9977,1,0.9953,0.9954,0.9931,0.9923,0.9863,0.9846,0.9768,0.9681,0.9587,0.9452,0.9315,0.9075,0.8808,0.8445,0.793,0.7575,0.7239,0.6733,0.6305,0.5662,0.5122,0.4803,0.4727
2.00,0.6256,0.6291,0.6378,0.6504,0.6758,0.703,0.7442,0.7701,0.8036,0.851,0.8862,0.9108,0.9318,0.9477,0.9604,0.9713,0.9785,0.9848,0.9904,0.9937,0.9964,0.9996,0.9989,1,0.9989,0.9981,0.9957,0.9931,0.9886,0.9842,0.9793,0.9709,0.961,0.9489,0.9333,0.9137,0.887,0.8525,0.8058,0.7703,0.7414,0.693,0.6523,0.5985,0.5635,0.5342,0.5138
3.00,0.6469,0.6518,0.664,0.6772,0.6982,0.7246,0.7625,0.785,0.8165,0.8609,0.893,0.9169,0.9364,0.9512,0.9637,0.9731,0.9805,0.9873,0.9927,0.9962,0.9977,0.9998,0.999,1,1.0013,1.0003,0.9973,0.9934,0.991,0.9848,0.9819,0.9735,0.9649,0.9521,0.9378,0.9186,0.8945,0.8613,0.8188,0.786,0.7596,0.7147,0.6784,0.6312,0.5992,0.5708,0.5553
4.00,0.6715,0.6775,0.6876,0.6991,0.7185,0.7428,0.7801,0.799,0.8287,0.8703,0.8988,0.9207,0.941,0.953,0.9666,0.9754,0.9829,0.9898,0.9937,0.997,0.999,1.0004,1.0013,1,1.0028,1.0042,0.999,0.9937,0.9948,0.9883,0.9835,0.9757,0.9667,0.9552,0.9415,0.9222,0.8999,0.8713,0.831,0.8019,0.7758,0.7333,0.7007,0.6601,0.6323,0.6057,0.5913
5.00,0.6947,0.6988,0.7111,0.7192,0.7369,0.7603,0.7941,0.812,0.8394,0.8777,0.9039,0.9222,0.9429,0.955,0.9677,0.9783,0.9831,0.9903,0.9944,0.998,0.999,1.0009,1.0013,1,1.003,1.002,1.0008,0.9957,0.9948,0.9896,0.9829,0.9767,0.9669,0.9587,0.9428,0.9247,0.905,0.8776,0.8403,0.8123,0.7912,0.7499,0.7195,0.6839,0.6591,0.6351,0.6246
7.50,0.7382,0.7436,0.7514,0.7587,0.7745,0.7923,0.8207,0.8353,0.8571,0.8892,0.9119,0.9323,0.9488,0.9583,0.9666,0.9784,0.9834,0.9894,0.9945,0.9954,0.9994,1.0021,1.0011,1,1.0001,0.9986,1,0.995,0.9918,0.9873,0.9832,0.9775,0.9662,0.9606,0.9461,0.9318,0.9131,0.8901,0.857,0.834,0.8175,0.785,0.7603,0.729,0.7115,0.6929,0.6804
