r (cm)/ theta(deg),0,1,2,3,5,7,10,12,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,168,170,173,175,177,178,179,180
0.25,0.777,0.774,0.775,0.776,0.774,0.772,0.795,0.813,0.844,0.888,0.917,0.938,0.952,0.964,0.972,0.978,0.984,0.989,0.993,0.995,0.997,0.999,0.999,1,0.999,0.998,0.997,0.995,0.993,0.989,0.985,0.979,0.972,0.964,0.953,0.938,0.917,0.888,0.844,0.805,-,-,-,-,-,-,-
0.5,0.659,0.666,0.664,0.664,0.677,0.697,0.734,0.757,0.797,0.846,0.882,0.91,0.931,0.948,0.96,0.97,0.978,0.984,0.989,0.993,0.996,0.999,0.999,1,1,0.998,0.996,0.994,0.989,0.985,0.979,0.971,0.961,0.949,0.933,0.911,0.882,0.843,0.788,0.747,0.712,0.655,0.626,0.615,0.616,0.616,0.618
0.75,0.639,0.638,0.635,0.643,0.663,0.687,0.727,0.753,0.791,0.84,0.878,0.906,0.929,0.945,0.959,0.969,0.977,0.984,0.989,0.993,0.996,0.998,0.999,1,1,0.998,0.995,0.993,0.99,0.985,0.978,0.97,0.96,0.946,0.929,0.907,0.877,0.837,0.782,0.739,0.703,0.643,0.611,0.59,0.587,0.587,0.59
1,0.632,0.629,0.629,0.641,0.663,0.688,0.727,0.753,0.791,0.841,0.878,0.906,0.928,0.945,0.959,0.969,0.978,0.984,0.989,0.994,0.996,0.998,0.999,1,1,0.998,0.996,0.993,0.989,0.984,0.979,0.97,0.959,0.945,0.928,0.906,0.877,0.836,0.782,0.739,0.704,0.647,0.613,0.591,0.582,0.579,0.588
1.5,0.633,0.63,0.636,0.645,0.67,0.695,0.735,0.759,0.796,0.845,0.88,0.908,0.929,0.946,0.959,0.97,0.978,0.985,0.989,0.993,0.996,0.999,0.999,1,1,0.998,0.996,0.994,0.99,0.985,0.978,0.97,0.959,0.947,0.929,0.906,0.878,0.839,0.786,0.746,0.712,0.658,0.624,0.6,0.589,0.586,0.587
2,0.637,0.639,0.649,0.657,0.682,0.704,0.745,0.766,0.803,0.849,0.884,0.91,0.93,0.947,0.96,0.971,0.979,0.985,0.99,0.994,0.997,0.999,1,1,1,0.999,0.997,0.995,0.991,0.985,0.979,0.971,0.961,0.947,0.931,0.909,0.881,0.844,0.792,0.753,0.721,0.671,0.639,0.614,0.603,0.596,0.596
2.5,0.649,0.649,0.658,0.669,0.691,0.714,0.752,0.773,0.808,0.853,0.887,0.912,0.932,0.948,0.961,0.971,0.979,0.985,0.99,0.994,0.996,0.999,0.999,1,0.999,0.998,0.997,0.994,0.99,0.985,0.979,0.971,0.961,0.948,0.932,0.911,0.883,0.848,0.798,0.761,0.73,0.683,0.651,0.627,0.616,0.609,0.607
3,0.664,0.661,0.67,0.68,0.702,0.724,0.76,0.781,0.813,0.856,0.89,0.913,0.933,0.949,0.961,0.971,0.979,0.985,0.99,0.994,0.996,0.999,0.999,1,0.999,0.998,0.997,0.994,0.99,0.986,0.979,0.972,0.962,0.949,0.933,0.913,0.886,0.852,0.804,0.769,0.739,0.694,0.663,0.641,0.63,0.622,0.62
4,0.683,0.683,0.693,0.703,0.722,0.742,0.775,0.794,0.824,0.864,0.895,0.918,0.937,0.951,0.962,0.972,0.98,0.986,0.991,0.994,0.996,0.999,0.999,1,1,0.999,0.997,0.995,0.991,0.986,0.98,0.973,0.963,0.951,0.936,0.917,0.892,0.86,0.815,0.782,0.756,0.715,0.685,0.664,0.655,0.648,0.65
