r (cm),g(r),Rel. Uncertainty
0.25,0.992624,0.00025119
0.5,0.996043,0.000272881
0.75,0.9978,0.000293778
1,1,0
1.5,1.00302,0.000252046
2,1.00543,0.000260755
2.5,1.0069,0.000268903
3,1.00797,0.000276542
3.5,1.00827,0.000283761
4,1.00754,0.000290639
4.5,1.00603,0.00029722
5,1.00391,0.000303536
6,0.997078,0.000272812
7,0.987087,0.000279521
8,0.974065,0.000286071
9,0.959135,0.000292559
10,0.940881,0.000299102
11,0.92133,0.000267263
12,0.899492,0.000271182
13,0.87603,0.000275272
14,0.851069,0.00027954
15,0.824935,0.000283993
16,0.797936,0.000288694
17,0.770192,0.000293678
18,0.741773,0.000298944
19,0.7133,0.00030452
20,0.684504,0.000310436
