-999,0,0.25,0.5,0.75,1,1.5,2,2.5,3,4,5,6,8,10
-10,0.00796,0.00801,0.00807,0.00817,0.00825,0.0084,0.0085,0.0085,0.00844,0.00812,0.00764,0.00705,0.0058,0.00464
-8,0.01246,0.01252,0.01267,0.0129,0.01311,0.01345,0.01358,0.01349,0.01324,0.0124,0.01129,0.01008,0.0078,0.00592
-6,0.0213,0.0218,0.0223,0.023,0.0236,0.0242,0.0241,0.0235,0.0226,0.02,0.0172,0.01463,0.01038,0.00741
-5,0.03,0.0309,0.0321,0.0333,0.0342,0.0349,0.0342,0.0327,0.0306,0.0259,0.0214,0.01757,0.01185,0.00819
-4,0.0461,0.0472,0.05,0.0524,0.0538,0.0537,0.0511,0.0471,0.0426,0.0339,0.0266,0.0209,0.01337,0.00893
-3,0.0782,0.0828,0.09,0.0944,0.0954,0.0905,0.0811,0.0706,0.0605,0.0441,0.0325,0.0245,0.01482,0.0096
-2.5,0.1104,0.1191,0.1313,0.1363,0.1353,0.1224,0.1046,0.0873,0.0722,0.05,0.0356,0.0262,0.01546,0.00989
-2,0.1694,0.1885,0.209,0.211,0.202,0.1702,0.1362,0.1076,0.0856,0.056,0.0386,0.0278,0.01603,0.0101
-1.5,0.298,0.347,0.375,0.359,0.323,0.242,0.1768,0.1312,0.0996,0.0617,0.0412,0.0292,0.01649,0.0103
-1,0.68,0.833,0.811,0.68,0.542,0.341,0.223,0.1549,0.1127,0.0664,0.0433,0.0302,0.01684,0.0105
-0.75,1.242,1.537,1.302,0.965,0.704,0.396,0.246,0.1653,0.1181,0.0682,0.0441,0.0306,0.01696,0.0105
-0.5,3.15,3.43,2.19,1.356,0.887,0.447,0.264,0.1736,0.1222,0.0696,0.0446,0.0309,0.01705,0.0106
-0.25,-999,9.2,3.51,1.765,1.046,0.484,0.277,0.1789,0.1247,0.0704,0.045,0.0311,0.01711,0.0106
0,-999,15.55,4.3,1.955,1.1109,0.498,0.282,0.1807,0.1257,0.0707,0.0451,0.0311,0.01712,0.0106
0.25,27.2,9.2,3.51,1.765,1.045,0.484,0.277,0.1788,0.1248,0.0704,0.045,0.0311,0.0171,0.0106
0.5,3.36,3.43,2.19,1.355,0.886,0.447,0.264,0.1735,0.1221,0.0696,0.0447,0.0309,0.01705,0.0106
0.75,1.346,1.547,1.302,0.965,0.704,0.396,0.246,0.1652,0.118,0.0682,0.0441,0.0306,0.01697,0.0105
1,0.732,0.847,0.812,0.68,0.542,0.34,0.223,0.1548,0.1127,0.0664,0.0433,0.0302,0.01683,0.0105
1.5,0.321,0.359,0.379,0.36,0.323,0.241,0.1767,0.1311,0.0996,0.0616,0.0412,0.0292,0.01648,0.0103
2,0.181,0.1976,0.212,0.213,0.203,0.1703,0.1362,0.1076,0.0855,0.0559,0.0385,0.0278,0.01602,0.0101
2.5,0.118,0.1258,0.1342,0.1377,0.1357,0.1226,0.1046,0.0872,0.0722,0.0499,0.0356,0.0262,0.01546,0.00988
3,0.0838,0.0877,0.0925,0.0956,0.0961,0.0907,0.0812,0.0706,0.0606,0.0441,0.0325,0.0245,0.01481,0.0096
4,0.0484,0.05,0.0519,0.0535,0.0545,0.054,0.0512,0.0472,0.0426,0.0339,0.0266,0.0209,0.01337,0.00893
5,0.0321,0.0324,0.0333,0.0342,0.0348,0.0352,0.0343,0.0328,0.0306,0.0259,0.0215,0.0176,0.01186,0.00819
6,0.0224,0.0228,0.0232,0.0237,0.0241,0.0245,0.0243,0.0236,0.0226,0.02,0.0172,0.0146,0.01039,0.00741
8,0.01281,0.01299,0.01313,0.01332,0.01348,0.01365,0.0137,0.01359,0.01331,0.01243,0.01131,0.01009,0.0078,0.00593
10,0.00821,0.00826,0.00833,0.00842,0.00846,0.00855,0.0086,0.00858,0.00849,0.00814,0.00765,0.00706,0.0058,0.00464
