r (cm),g(r),Rel. Uncertainty
0.25,0.970332,0.000292904
0.5,0.980414,0.000313075
0.75,0.990525,0.000333157
1,1,0
1.5,1.01809,0.00028057
2,1.0348,0.000292378
2.5,1.05,0.000302277
3,1.06356,0.000313466
3.5,1.0754,0.000317798
4,1.08571,0.000321637
4.5,1.09398,0.000323953
5,1.10085,0.000327933
6,1.10818,0.000304936
7,1.10951,0.000306338
8,1.10499,0.000313868
9,1.09461,0.000321658
10,1.07922,0.000323791
11,1.05923,0.000296632
12,1.03544,0.000306064
13,1.00796,0.00030893
14,0.977623,0.000314254
15,0.944692,0.000312921
16,0.910166,0.000309288
17,0.874527,0.000328087
18,0.837226,0.000337901
19,0.80014,0.000335867
20,0.76188,0.000343496
