r (cm)/ theta(deg),0,2,5,7,10,15,20,25,30,40,50,60,70,80,90,100,110,120,130,140,150,155,160,165,170,173,175,178,180
0.1,-,-,-,-,-,-,-,1.294,1.127,1.038,1.01,1.002,1,1,1,1,1,1.002,1.01,1.038,1.127,1.294,-,-,-,-,-,-,-
0.2,-,-,-,-,-,-,1.03,1.007,0.962,0.944,0.967,0.982,0.992,0.997,1,0.997,0.992,0.982,0.967,0.944,0.962,1.007,1.03,-,-,-,-,-,-
0.5,0.203,0.214,0.33,0.367,0.414,0.531,0.637,0.72,0.79,0.899,0.97,1.003,0.984,0.995,1,0.995,0.984,1.003,0.97,0.899,0.79,0.72,0.637,0.531,0.414,0.367,0.33,0.214,0.203
0.7,0.247,0.26,0.378,0.396,0.448,0.555,0.649,0.723,0.784,0.882,0.953,1,1.014,0.994,1,0.994,1.014,1,0.953,0.882,0.784,0.723,0.649,0.555,0.448,0.396,0.378,0.26,0.247
1,0.29,0.325,0.423,0.436,0.49,0.588,0.671,0.741,0.794,0.882,0.949,0.997,1.017,0.999,1,0.999,1.017,0.997,0.949,0.882,0.794,0.741,0.671,0.588,0.49,0.436,0.423,0.325,0.29
2,0.387,0.462,0.509,0.527,0.572,0.652,0.721,0.778,0.824,0.895,0.952,0.99,1.018,1.021,1,1.021,1.018,0.99,0.952,0.895,0.824,0.778,0.721,0.652,0.572,0.527,0.509,0.462,0.387
3,0.463,0.535,0.561,0.575,0.621,0.688,0.749,0.797,0.839,0.904,0.954,0.99,1.014,1.019,1,1.019,1.014,0.99,0.954,0.904,0.839,0.797,0.749,0.688,0.621,0.575,0.561,0.535,0.463
5,0.551,0.601,0.624,0.639,0.675,0.725,0.779,0.821,0.858,0.912,0.956,0.989,1.013,1.016,1,1.016,1.013,0.989,0.956,0.912,0.858,0.821,0.779,0.725,0.675,0.639,0.624,0.601,0.551
7,0.598,0.638,0.659,0.679,0.7,0.751,0.79,0.83,0.862,0.921,0.96,0.989,1.005,1.017,1,1.017,1.005,0.989,0.96,0.921,0.862,0.83,0.79,0.751,0.7,0.679,0.659,0.638,0.598
10,0.64,0.667,0.682,0.69,0.723,0.771,0.807,0.85,0.875,0.923,0.959,0.986,1.005,1.007,1,1.007,1.005,0.986,0.959,0.923,0.875,0.85,0.807,0.771,0.723,0.69,0.682,0.667,0.64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r (cm)/ theta(deg),0,2,5,7,10,15,20,25,30,40,50,60,70,80,90,100,110,120,130,140,150,155,160,165,170,173,175,178,180
0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
0.2,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
0.7,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
3,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
7,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
